virtual_machine,name,size,description
APAC-DB-Server-02,DB-Data,921600,Database data files and logs
APAC-Redis-01,OS-Data,102400,Redis OS and data
APAC-Redis-02,OS-Data,102400,Redis OS and data
APAC-Kafka-01,OS-Disk,102400,Operating system disk
APAC-Kafka-01,Kafka-Data,409600,Kafka logs and topics
APAC-Kafka-02,OS-Disk,102400,Operating system disk
APAC-Kafka-02,Kafka-Data,409600,Kafka logs and topics
APAC-ELK-ES-01,OS-Disk,102400,Operating system disk
APAC-ELK-ES-01,ES-Data,921600,Elasticsearch indices and data
APAC-ELK-ES-02,OS-Disk,102400,Operating system disk
APAC-ELK-ES-02,ES-Data,921600,Elasticsearch indices and data
APAC-Docker-Host-01,OS-Disk,102400,Operating system disk
APAC-Docker-Host-01,Docker-Data,409600,Docker images and volumes
APAC-Docker-Host-02,OS-Disk,102400,Operating system disk
APAC-Docker-Host-02,Docker-Data,409600,Docker images and volumes
APAC-vSAN-Witness,Witness-Disk,10240,vSAN witness cache disk
APAC-File-Server-01,OS-Disk,102400,Operating system disk
APAC-File-Server-01,File-Storage,5017600,File server storage volume
APAC-NFS-Server-01,OS-Disk,102400,Operating system disk
APAC-NFS-Server-01,NFS-Storage,5017600,NFS export storage volume
AMER-vCenter-01,vCenter-OS-Data,512000,vCenter OS and data disk
AMER-NSX-Manager-01,NSX-OS-Data,307200,NSX Manager OS and data disk
AMER-NSX-Manager-02,NSX-OS-Data,307200,NSX Manager OS and data disk
AMER-NSX-Manager-03,NSX-OS-Data,307200,NSX Manager OS and data disk
AMER-vROps-01,vROps-OS-Data,512000,vROps OS and data disk
AMER-vRLI-01,vRLI-OS-Data,512000,vRLI OS and data disk
AMER-Backup-Server-01,OS-Disk,102400,Operating system disk
AMER-Backup-Server-01,Backup-Data,921600,Backup storage volume
AMER-Jump-Host-01,OS-Disk,102400,Operating system disk
AMER-Ansible-Tower-01,OS-Disk,102400,Operating system disk
AMER-Ansible-Tower-01,Ansible-Data,102400,Ansible projects and inventory
AMER-Web-App-01,OS-Disk,102400,Operating system and web content
AMER-Web-App-02,OS-Disk,102400,Operating system and web content
AMER-Web-App-03,OS-Disk,102400,Operating system and web content
AMER-App-Server-01,OS-Disk,102400,Operating system disk
AMER-App-Server-01,App-Data,102400,Application binaries and data
AMER-App-Server-02,OS-Disk,102400,Operating system disk
AMER-App-Server-02,App-Data,102400,Application binaries and data
AMER-App-Server-03,OS-Disk,102400,Operating system disk
AMER-App-Server-03,App-Data,102400,Application binaries and data
AMER-DB-Server-01,OS-Disk,102400,Operating system disk
AMER-DB-Server-01,DB-Data,921600,Database data files and logs
AMER-DB-Server-02,OS-Disk,102400,Operating system disk
AMER-DB-Server-02,DB-Data,921600,Database data files and logs
AMER-Redis-01,OS-Data,102400,Redis OS and data
AMER-Redis-02,OS-Data,102400,Redis OS and data
AMER-Kafka-01,OS-Disk,102400,Operating system disk
AMER-Kafka-01,Kafka-Data,409600,Kafka logs and topics
AMER-Kafka-02,OS-Disk,102400,Operating system disk
AMER-Kafka-02,Kafka-Data,409600,Kafka logs and topics
AMER-ELK-ES-01,OS-Disk,102400,Operating system disk
AMER-ELK-ES-01,ES-Data,921600,Elasticsearch indices and data
AMER-ELK-ES-02,OS-Disk,102400,Operating system disk
AMER-ELK-ES-02,ES-Data,921600,Elasticsearch indices and data
AMER-Docker-Host-01,OS-Disk,102400,Operating system disk
AMER-Docker-Host-01,Docker-Data,409600,Docker images and volumes
AMER-Docker-Host-02,OS-Disk,102400,Operating system disk
AMER-Docker-Host-02,Docker-Data,409600,Docker images and volumes
AMER-vSAN-Witness,Witness-Disk,10240,vSAN witness cache disk
AMER-File-Server-01,OS-Disk,102400,Operating system disk
AMER-File-Server-01,File-Storage,5017600,File server storage volume
AMER-NFS-Server-01,OS-Disk,102400,Operating system disk
AMER-NFS-Server-01,NFS-Storage,5017600,NFS export storage volume
