address,status,device,virtual_machine,interface,dns_name,description
10.100.60.10/24,active,,EMEA-Web-App-01,eth0,emea-web-01.lab.local,EMEA Web Server 01
10.100.60.11/24,active,,EMEA-Web-App-02,eth0,emea-web-02.lab.local,EMEA Web Server 02
10.100.60.12/24,active,,EMEA-Web-App-03,eth0,emea-web-03.lab.local,EMEA Web Server 03
10.100.60.20/24,active,,EMEA-App-Server-01,eth0,emea-app-01.lab.local,EMEA App Server 01 Management
10.100.70.20/24,active,,EMEA-App-Server-01,eth1,,EMEA App Server 01 Backend
10.100.60.21/24,active,,EMEA-App-Server-02,eth0,emea-app-02.lab.local,EMEA App Server 02 Management
10.100.70.21/24,active,,EMEA-App-Server-02,eth1,,EMEA App Server 02 Backend
10.100.60.22/24,active,,EMEA-App-Server-03,eth0,emea-app-03.lab.local,EMEA App Server 03 Management
10.100.70.22/24,active,,EMEA-App-Server-03,eth1,,EMEA App Server 03 Backend
10.100.60.30/24,active,,EMEA-DB-Server-01,eth0,emea-db-01.lab.local,EMEA DB Server 01 Management
10.100.70.31/24,active,,EMEA-DB-Server-01,eth1,,EMEA DB Server 01 Replication
10.100.60.31/24,active,,EMEA-DB-Server-02,eth0,emea-db-02.lab.local,EMEA DB Server 02 Management
10.100.70.32/24,active,,EMEA-DB-Server-02,eth1,,EMEA DB Server 02 Replication
10.100.60.70/24,active,,EMEA-Docker-Host-01,eth0,emea-docker-01.lab.local,EMEA Docker Host 01 Management
10.100.70.70/24,active,,EMEA-Docker-Host-01,eth1,,EMEA Docker Host 01 Container Network
10.100.60.71/24,active,,EMEA-Docker-Host-02,eth0,emea-docker-02.lab.local,EMEA Docker Host 02 Management
10.100.70.71/24,active,,EMEA-Docker-Host-02,eth1,,EMEA Docker Host 02 Container Network
10.100.50.80/24,active,,EMEA-vSAN-Witness,eth0,emea-vsan-witness.lab.local,EMEA vSAN Witness
10.100.50.90/24,active,,EMEA-File-Server-01,eth0,emea-fileserver-01.lab.local,EMEA File Server Management
10.100.80.90/24,active,,EMEA-File-Server-01,eth1,,EMEA File Server Storage Network
10.100.50.91/24,active,,EMEA-NFS-Server-01,eth0,emea-nfs-01.lab.local,EMEA NFS Server Management
10.100.80.91/24,active,,EMEA-NFS-Server-01,eth1,,EMEA NFS Server Storage Network
10.101.10.11/24,active,APAC-DC-ONPREM-ESX-A01,,iDRAC,apac-esx-a01-idrac.lab.local,APAC ESX-A01 iDRAC
10.101.10.12/24,active,APAC-DC-ONPREM-ESX-A02,,iDRAC,apac-esx-a02-idrac.lab.local,APAC ESX-A02 iDRAC
10.101.10.13/24,active,APAC-DC-ONPREM-ESX-A03,,iDRAC,apac-esx-a03-idrac.lab.local,APAC ESX-A03 iDRAC
10.101.10.14/24,active,APAC-DC-ONPREM-ESX-A04,,iDRAC,apac-esx-a04-idrac.lab.local,APAC ESX-A04 iDRAC
10.101.10.15/24,active,APAC-DC-ONPREM-ESX-A05,,iLO,apac-esx-a05-ilo.lab.local,APAC ESX-A05 iLO
10.101.10.16/24,active,APAC-DC-ONPREM-ESX-A06,,iLO,apac-esx-a06-ilo.lab.local,APAC ESX-A06 iLO
10.101.10.17/24,active,APAC-DC-ONPREM-ESX-B01,,iDRAC,apac-esx-b01-idrac.lab.local,APAC ESX-B01 iDRAC
10.101.10.18/24,active,APAC-DC-ONPREM-ESX-B02,,iDRAC,apac-esx-b02-idrac.lab.local,APAC ESX-B02 iDRAC
10.101.10.19/24,active,APAC-DC-ONPREM-ESX-B03,,iDRAC,apac-esx-b03-idrac.lab.local,APAC ESX-B03 iDRAC
10.101.10.20/24,active,APAC-DC-ONPREM-ESX-B04,,iDRAC,apac-esx-b04-idrac.lab.local,APAC ESX-B04 iDRAC
10.101.10.21/24,active,APAC-DC-ONPREM-ESX-MGT01,,CIMC,apac-esx-mgt01-cimc.lab.local,APAC ESX-MGT01 CIMC
10.101.10.22/24,active,APAC-DC-ONPREM-ESX-MGT02,,CIMC,apac-esx-mgt02-cimc.lab.local,APAC ESX-MGT02 CIMC
10.101.10.23/24,active,APAC-DC-ONPREM-ESX-MGT03,,CIMC,apac-esx-mgt03-cimc.lab.local,APAC ESX-MGT03 CIMC
10.101.50.10/24,active,,APAC-vCenter-01,eth0,apac-vcenter-01.lab.local,APAC vCenter Server
10.101.50.11/24,active,,APAC-NSX-Manager-01,eth0,apac-nsx-mgr-01.lab.local,APAC NSX Manager 01
10.101.50.12/24,active,,APAC-NSX-Manager-02,eth0,apac-nsx-mgr-02.lab.local,APAC NSX Manager 02
10.101.50.13/24,active,,APAC-NSX-Manager-03,eth0,apac-nsx-mgr-03.lab.local,APAC NSX Manager 03
10.101.50.20/24,active,,APAC-vROps-01,eth0,apac-vrops-01.lab.local,APAC vRealize Operations
10.101.50.21/24,active,,APAC-vRLI-01,eth0,apac-vrli-01.lab.local,APAC vRealize Log Insight
10.101.50.30/24,active,,APAC-Backup-Server-01,eth0,apac-backup-01.lab.local,APAC Backup Server Management
10.101.70.30/24,active,,APAC-Backup-Server-01,eth1,,APAC Backup Server Data Network
10.101.50.40/24,active,,APAC-Jump-Host-01,eth0,apac-jumphost-01.lab.local,APAC Jump Host
10.101.50.50/24,active,,APAC-Ansible-Tower-01,eth0,apac-ansible-01.lab.local,APAC Ansible Tower
10.101.60.10/24,active,,APAC-Web-App-01,eth0,apac-web-01.lab.local,APAC Web Server 01
10.101.60.11/24,active,,APAC-Web-App-02,eth0,apac-web-02.lab.local,APAC Web Server 02
10.101.60.12/24,active,,APAC-Web-App-03,eth0,apac-web-03.lab.local,APAC Web Server 03
10.101.60.20/24,active,,APAC-App-Server-01,eth0,apac-app-01.lab.local,APAC App Server 01 Management
10.101.70.20/24,active,,APAC-App-Server-01,eth1,,APAC App Server 01 Backend
10.101.60.21/24,active,,APAC-App-Server-02,eth0,apac-app-02.lab.local,APAC App Server 02 Management
10.101.70.21/24,active,,APAC-App-Server-02,eth1,,APAC App Server 02 Backend
10.101.60.22/24,active,,APAC-App-Server-03,eth0,apac-app-03.lab.local,APAC App Server 03 Management
10.101.70.22/24,active,,APAC-App-Server-03,eth1,,APAC App Server 03 Backend
10.101.60.30/24,active,,APAC-DB-Server-01,eth0,apac-db-01.lab.local,APAC DB Server 01 Management
10.101.70.31/24,active,,APAC-DB-Server-01,eth1,,APAC DB Server 01 Replication
10.101.60.31/24,active,,APAC-DB-Server-02,eth0,apac-db-02.lab.local,APAC DB Server 02 Management
10.101.70.32/24,active,,APAC-DB-Server-02,eth1,,APAC DB Server 02 Replication
10.101.60.70/24,active,,APAC-Docker-Host-01,eth0,apac-docker-01.lab.local,APAC Docker Host 01 Management
10.101.70.70/24,active,,APAC-Docker-Host-01,eth1,,APAC Docker Host 01 Container Network
10.101.60.71/24,active,,APAC-Docker-Host-02,eth0,apac-docker-02.lab.local,APAC Docker Host 02 Management
10.101.70.71/24,active,,APAC-Docker-Host-02,eth1,,APAC Docker Host 02 Container Network
10.101.50.80/24,active,,APAC-vSAN-Witness,eth0,apac-vsan-witness.lab.local,APAC vSAN Witness
10.101.50.90/24,active,,APAC-File-Server-01,eth0,apac-fileserver-01.lab.local,APAC File Server Management
10.101.80.90/24,active,,APAC-File-Server-01,eth1,,APAC File Server Storage Network
10.101.50.91/24,active,,APAC-NFS-Server-01,eth0,apac-nfs-01.lab.local,APAC NFS Server Management
10.101.80.91/24,active,,APAC-NFS-Server-01,eth1,,APAC NFS Server Storage Network
10.102.10.11/24,active,AMER-DC-ONPREM-ESX-A01,,iDRAC,amer-esx-a01-idrac.lab.local,AMER ESX-A01 iDRAC
10.102.10.12/24,active,AMER-DC-ONPREM-ESX-A02,,iDRAC,amer-esx-a02-idrac.lab.local,AMER ESX-A02 iDRAC
10.102.10.13/24,active,AMER-DC-ONPREM-ESX-A03,,iDRAC,amer-esx-a03-idrac.lab.local,AMER ESX-A03 iDRAC
10.102.10.14/24,active,AMER-DC-ONPREM-ESX-A04,,iDRAC,amer-esx-a04-idrac.lab.local,AMER ESX-A04 iDRAC
10.102.10.15/24,active,AMER-DC-ONPREM-ESX-A05,,iLO,amer-esx-a05-ilo.lab.local,AMER ESX-A05 iLO
10.102.10.16/24,active,AMER-DC-ONPREM-ESX-A06,,iLO,amer-esx-a06-ilo.lab.local,AMER ESX-A06 iLO
10.102.10.17/24,active,AMER-DC-ONPREM-ESX-B01,,iDRAC,amer-esx-b01-idrac.lab.local,AMER ESX-B01 iDRAC
10.102.10.18/24,active,AMER-DC-ONPREM-ESX-B02,,iDRAC,amer-esx-b02-idrac.lab.local,AMER ESX-B02 iDRAC
10.102.10.19/24,active,AMER-DC-ONPREM-ESX-B03,,iDRAC,amer-esx-b03-idrac.lab.local,AMER ESX-B03 iDRAC
10.102.10.20/24,active,AMER-DC-ONPREM-ESX-B04,,iDRAC,amer-esx-b04-idrac.lab.local,AMER ESX-B04 iDRAC
10.102.10.21/24,active,AMER-DC-ONPREM-ESX-MGT01,,CIMC,amer-esx-mgt01-cimc.lab.local,AMER ESX-MGT01 CIMC
10.102.10.22/24,active,AMER-DC-ONPREM-ESX-MGT02,,CIMC,amer-esx-mgt02-cimc.lab.local,AMER ESX-MGT02 CIMC
10.102.10.23/24,active,AMER-DC-ONPREM-ESX-MGT03,,CIMC,amer-esx-mgt03-cimc.lab.local,AMER ESX-MGT03 CIMC
10.102.50.10/24,active,,AMER-vCenter-01,eth0,amer-vcenter-01.lab.local,AMER vCenter Server
10.102.50.11/24,active,,AMER-NSX-Manager-01,eth0,amer-nsx-mgr-01.lab.local,AMER NSX Manager 01
10.102.50.12/24,active,,AMER-NSX-Manager-02,eth0,amer-nsx-mgr-02.lab.local,AMER NSX Manager 02
10.102.50.13/24,active,,AMER-NSX-Manager-03,eth0,amer-nsx-mgr-03.lab.local,AMER NSX Manager 03
10.102.50.20/24,active,,AMER-vROps-01,eth0,amer-vrops-01.lab.local,AMER vRealize Operations
10.102.50.21/24,active,,AMER-vRLI-01,eth0,amer-vrli-01.lab.local,AMER vRealize Log Insight
10.102.50.30/24,active,,AMER-Backup-Server-01,eth0,amer-backup-01.lab.local,AMER Backup Server Management
10.102.70.30/24,active,,AMER-Backup-Server-01,eth1,,AMER Backup Server Data Network
10.102.50.40/24,active,,AMER-Jump-Host-01,eth0,amer-jumphost-01.lab.local,AMER Jump Host
10.102.50.50/24,active,,AMER-Ansible-Tower-01,eth0,amer-ansible-01.lab.local,AMER Ansible Tower
10.102.60.10/24,active,,AMER-Web-App-01,eth0,amer-web-01.lab.local,AMER Web Server 01
10.102.60.11/24,active,,AMER-Web-App-02,eth0,amer-web-02.lab.local,AMER Web Server 02
10.102.60.12/24,active,,AMER-Web-App-03,eth0,amer-web-03.lab.local,AMER Web Server 03
10.102.60.20/24,active,,AMER-App-Server-01,eth0,amer-app-01.lab.local,AMER App Server 01 Management
10.102.70.20/24,active,,AMER-App-Server-01,eth1,,AMER App Server 01 Backend
10.102.60.21/24,active,,AMER-App-Server-02,eth0,amer-app-02.lab.local,AMER App Server 02 Management
10.102.70.21/24,active,,AMER-App-Server-02,eth1,,AMER App Server 02 Backend
10.102.60.22/24,active,,AMER-App-Server-03,eth0,amer-app-03.lab.local,AMER App Server 03 Management
10.102.70.22/24,active,,AMER-App-Server-03,eth1,,AMER App Server 03 Backend
10.102.60.30/24,active,,AMER-DB-Server-01,eth0,amer-db-01.lab.local,AMER DB Server 01 Management
10.102.70.31/24,active,,AMER-DB-Server-01,eth1,,AMER DB Server 01 Replication
10.102.60.31/24,active,,AMER-DB-Server-02,eth0,amer-db-02.lab.local,AMER DB Server 02 Management
10.102.70.32/24,active,,AMER-DB-Server-02,eth1,,AMER DB Server 02 Replication
10.102.60.70/24,active,,AMER-Docker-Host-01,eth0,amer-docker-01.lab.local,AMER Docker Host 01 Management
10.102.70.70/24,active,,AMER-Docker-Host-01,eth1,,AMER Docker Host 01 Container Network
10.102.60.71/24,active,,AMER-Docker-Host-02,eth0,amer-docker-02.lab.local,AMER Docker Host 02 Management
10.102.70.71/24,active,,AMER-Docker-Host-02,eth1,,AMER Docker Host 02 Container Network
10.102.50.80/24,active,,AMER-vSAN-Witness,eth0,amer-vsan-witness.lab.local,AMER vSAN Witness
10.102.50.90/24,active,,AMER-File-Server-01,eth0,amer-fileserver-01.lab.local,AMER File Server Management
10.102.80.90/24,active,,AMER-File-Server-01,eth1,,AMER File Server Storage Network
10.102.50.91/24,active,,AMER-NFS-Server-01,eth0,amer-nfs-01.lab.local,AMER NFS Server Management
10.102.80.91/24,active,,AMER-NFS-Server-01,eth1,,AMER NFS Server Storage Network
10.100.20.11/24,active,EMEA-DC-ONPREM-ESX-A01,,vmk0,emea-esx-a01.lab.local,EMEA ESX-A01 Management
10.100.30.11/24,active,EMEA-DC-ONPREM-ESX-A01,,vmk1,,EMEA ESX-A01 vMotion
10.100.40.11/24,active,EMEA-DC-ONPREM-ESX-A01,,vmk2,,EMEA ESX-A01 vSAN
10.100.20.12/24,active,EMEA-DC-ONPREM-ESX-A02,,vmk0,emea-esx-a02.lab.local,EMEA ESX-A02 Management
10.100.30.12/24,active,EMEA-DC-ONPREM-ESX-A02,,vmk1,,EMEA ESX-A02 vMotion
10.100.40.12/24,active,EMEA-DC-ONPREM-ESX-A02,,vmk2,,EMEA ESX-A02 vSAN
10.100.20.13/24,active,EMEA-DC-ONPREM-ESX-A03,,vmk0,emea-esx-a03.lab.local,EMEA ESX-A03 Management
10.100.30.13/24,active,EMEA-DC-ONPREM-ESX-A03,,vmk1,,EMEA ESX-A03 vMotion
10.100.40.13/24,active,EMEA-DC-ONPREM-ESX-A03,,vmk2,,EMEA ESX-A03 vSAN
10.100.20.14/24,active,EMEA-DC-ONPREM-ESX-A04,,vmk0,emea-esx-a04.lab.local,EMEA ESX-A04 Management
10.100.30.14/24,active,EMEA-DC-ONPREM-ESX-A04,,vmk1,,EMEA ESX-A04 vMotion
10.100.40.14/24,active,EMEA-DC-ONPREM-ESX-A04,,vmk2,,EMEA ESX-A04 vSAN
10.100.20.15/24,active,EMEA-DC-ONPREM-ESX-A05,,vmk0,emea-esx-a05.lab.local,EMEA ESX-A05 Management
10.100.30.15/24,active,EMEA-DC-ONPREM-ESX-A05,,vmk1,,EMEA ESX-A05 vMotion
10.100.40.15/24,active,EMEA-DC-ONPREM-ESX-A05,,vmk2,,EMEA ESX-A05 vSAN
10.100.20.16/24,active,EMEA-DC-ONPREM-ESX-A06,,vmk0,emea-esx-a06.lab.local,EMEA ESX-A06 Management
10.100.30.16/24,active,EMEA-DC-ONPREM-ESX-A06,,vmk1,,EMEA ESX-A06 vMotion
10.100.40.16/24,active,EMEA-DC-ONPREM-ESX-A06,,vmk2,,EMEA ESX-A06 vSAN
10.100.20.17/24,active,EMEA-DC-ONPREM-ESX-B01,,vmk0,emea-esx-b01.lab.local,EMEA ESX-B01 Management
10.100.30.17/24,active,EMEA-DC-ONPREM-ESX-B01,,vmk1,,EMEA ESX-B01 vMotion
10.100.40.17/24,active,EMEA-DC-ONPREM-ESX-B01,,vmk2,,EMEA ESX-B01 vSAN
10.100.20.18/24,active,EMEA-DC-ONPREM-ESX-B02,,vmk0,emea-esx-b02.lab.local,EMEA ESX-B02 Management
10.100.30.18/24,active,EMEA-DC-ONPREM-ESX-B02,,vmk1,,EMEA ESX-B02 vMotion
10.100.40.18/24,active,EMEA-DC-ONPREM-ESX-B02,,vmk2,,EMEA ESX-B02 vSAN
10.100.20.19/24,active,EMEA-DC-ONPREM-ESX-B03,,vmk0,emea-esx-b03.lab.local,EMEA ESX-B03 Management
10.100.30.19/24,active,EMEA-DC-ONPREM-ESX-B03,,vmk1,,EMEA ESX-B03 vMotion
10.100.40.19/24,active,EMEA-DC-ONPREM-ESX-B03,,vmk2,,EMEA ESX-B03 vSAN
10.100.20.20/24,active,EMEA-DC-ONPREM-ESX-B04,,vmk0,emea-esx-b04.lab.local,EMEA ESX-B04 Management
10.100.30.20/24,active,EMEA-DC-ONPREM-ESX-B04,,vmk1,,EMEA ESX-B04 vMotion
10.100.40.20/24,active,EMEA-DC-ONPREM-ESX-B04,,vmk2,,EMEA ESX-B04 vSAN
10.100.20.21/24,active,EMEA-DC-ONPREM-ESX-MGT01,,vmk0,emea-esx-mgt01.lab.local,EMEA ESX-MGT01 Management
10.100.30.21/24,active,EMEA-DC-ONPREM-ESX-MGT01,,vmk1,,EMEA ESX-MGT01 vMotion
10.100.40.21/24,active,EMEA-DC-ONPREM-ESX-MGT01,,vmk2,,EMEA ESX-MGT01 vSAN
10.100.20.22/24,active,EMEA-DC-ONPREM-ESX-MGT02,,vmk0,emea-esx-mgt02.lab.local,EMEA ESX-MGT02 Management
10.100.30.22/24,active,EMEA-DC-ONPREM-ESX-MGT02,,vmk1,,EMEA ESX-MGT02 vMotion
10.100.40.22/24,active,EMEA-DC-ONPREM-ESX-MGT02,,vmk2,,EMEA ESX-MGT02 vSAN
10.100.20.23/24,active,EMEA-DC-ONPREM-ESX-MGT03,,vmk0,emea-esx-mgt03.lab.local,EMEA ESX-MGT03 Management
10.100.30.23/24,active,EMEA-DC-ONPREM-ESX-MGT03,,vmk1,,EMEA ESX-MGT03 vMotion
10.100.40.23/24,active,EMEA-DC-ONPREM-ESX-MGT03,,vmk2,,EMEA ESX-MGT03 vSAN
10.101.20.11/24,active,APAC-DC-ONPREM-ESX-A01,,vmk0,apac-esx-a01.lab.local,APAC ESX-A01 Management
10.101.30.11/24,active,APAC-DC-ONPREM-ESX-A01,,vmk1,,APAC ESX-A01 vMotion
10.101.40.11/24,active,APAC-DC-ONPREM-ESX-A01,,vmk2,,APAC ESX-A01 vSAN
10.101.20.12/24,active,APAC-DC-ONPREM-ESX-A02,,vmk0,apac-esx-a02.lab.local,APAC ESX-A02 Management
10.101.30.12/24,active,APAC-DC-ONPREM-ESX-A02,,vmk1,,APAC ESX-A02 vMotion
10.101.40.12/24,active,APAC-DC-ONPREM-ESX-A02,,vmk2,,APAC ESX-A02 vSAN
10.101.20.13/24,active,APAC-DC-ONPREM-ESX-A03,,vmk0,apac-esx-a03.lab.local,APAC ESX-A03 Management
10.101.30.13/24,active,APAC-DC-ONPREM-ESX-A03,,vmk1,,APAC ESX-A03 vMotion
10.101.40.13/24,active,APAC-DC-ONPREM-ESX-A03,,vmk2,,APAC ESX-A03 vSAN
10.101.20.14/24,active,APAC-DC-ONPREM-ESX-A04,,vmk0,apac-esx-a04.lab.local,APAC ESX-A04 Management
10.101.30.14/24,active,APAC-DC-ONPREM-ESX-A04,,vmk1,,APAC ESX-A04 vMotion
10.101.40.14/24,active,APAC-DC-ONPREM-ESX-A04,,vmk2,,APAC ESX-A04 vSAN
10.101.20.15/24,active,APAC-DC-ONPREM-ESX-A05,,vmk0,apac-esx-a05.lab.local,APAC ESX-A05 Management
10.101.30.15/24,active,APAC-DC-ONPREM-ESX-A05,,vmk1,,APAC ESX-A05 vMotion
10.101.40.15/24,active,APAC-DC-ONPREM-ESX-A05,,vmk2,,APAC ESX-A05 vSAN
10.101.20.16/24,active,APAC-DC-ONPREM-ESX-A06,,vmk0,apac-esx-a06.lab.local,APAC ESX-A06 Management
10.101.30.16/24,active,APAC-DC-ONPREM-ESX-A06,,vmk1,,APAC ESX-A06 vMotion
10.101.40.16/24,active,APAC-DC-ONPREM-ESX-A06,,vmk2,,APAC ESX-A06 vSAN
10.101.20.17/24,active,APAC-DC-ONPREM-ESX-B01,,vmk0,apac-esx-b01.lab.local,APAC ESX-B01 Management
10.101.30.17/24,active,APAC-DC-ONPREM-ESX-B01,,vmk1,,APAC ESX-B01 vMotion
10.101.40.17/24,active,APAC-DC-ONPREM-ESX-B01,,vmk2,,APAC ESX-B01 vSAN
10.101.20.18/24,active,APAC-DC-ONPREM-ESX-B02,,vmk0,apac-esx-b02.lab.local,APAC ESX-B02 Management
10.101.30.18/24,active,APAC-DC-ONPREM-ESX-B02,,vmk1,,APAC ESX-B02 vMotion
10.101.40.18/24,active,APAC-DC-ONPREM-ESX-B02,,vmk2,,APAC ESX-B02 vSAN
10.101.20.19/24,active,APAC-DC-ONPREM-ESX-B03,,vmk0,apac-esx-b03.lab.local,APAC ESX-B03 Management
10.101.30.19/24,active,APAC-DC-ONPREM-ESX-B03,,vmk1,,APAC ESX-B03 vMotion
10.101.40.19/24,active,APAC-DC-ONPREM-ESX-B03,,vmk2,,APAC ESX-B03 vSAN
10.101.20.20/24,active,APAC-DC-ONPREM-ESX-B04,,vmk0,apac-esx-b04.lab.local,APAC ESX-B04 Management
10.101.30.20/24,active,APAC-DC-ONPREM-ESX-B04,,vmk1,,APAC ESX-B04 vMotion
10.101.40.20/24,active,APAC-DC-ONPREM-ESX-B04,,vmk2,,APAC ESX-B04 vSAN
10.101.20.21/24,active,APAC-DC-ONPREM-ESX-MGT01,,vmk0,apac-esx-mgt01.lab.local,APAC ESX-MGT01 Management
10.101.30.21/24,active,APAC-DC-ONPREM-ESX-MGT01,,vmk1,,APAC ESX-MGT01 vMotion
10.101.40.21/24,active,APAC-DC-ONPREM-ESX-MGT01,,vmk2,,APAC ESX-MGT01 vSAN
10.101.20.22/24,active,APAC-DC-ONPREM-ESX-MGT02,,vmk0,apac-esx-mgt02.lab.local,APAC ESX-MGT02 Management
10.101.30.22/24,active,APAC-DC-ONPREM-ESX-MGT02,,vmk1,,APAC ESX-MGT02 vMotion
10.101.40.22/24,active,APAC-DC-ONPREM-ESX-MGT02,,vmk2,,APAC ESX-MGT02 vSAN
10.101.20.23/24,active,APAC-DC-ONPREM-ESX-MGT03,,vmk0,apac-esx-mgt03.lab.local,APAC ESX-MGT03 Management
10.101.30.23/24,active,APAC-DC-ONPREM-ESX-MGT03,,vmk1,,APAC ESX-MGT03 vMotion
10.101.40.23/24,active,APAC-DC-ONPREM-ESX-MGT03,,vmk2,,APAC ESX-MGT03 vSAN
10.102.20.11/24,active,AMER-DC-ONPREM-ESX-A01,,vmk0,amer-esx-a01.lab.local,AMER ESX-A01 Management
10.102.30.11/24,active,AMER-DC-ONPREM-ESX-A01,,vmk1,,AMER ESX-A01 vMotion
10.102.40.11/24,active,AMER-DC-ONPREM-ESX-A01,,vmk2,,AMER ESX-A01 vSAN
10.102.20.12/24,active,AMER-DC-ONPREM-ESX-A02,,vmk0,amer-esx-a02.lab.local,AMER ESX-A02 Management
10.102.30.12/24,active,AMER-DC-ONPREM-ESX-A02,,vmk1,,AMER ESX-A02 vMotion
10.102.40.12/24,active,AMER-DC-ONPREM-ESX-A02,,vmk2,,AMER ESX-A02 vSAN
10.102.20.13/24,active,AMER-DC-ONPREM-ESX-A03,,vmk0,amer-esx-a03.lab.local,AMER ESX-A03 Management
10.102.30.13/24,active,AMER-DC-ONPREM-ESX-A03,,vmk1,,AMER ESX-A03 vMotion
10.102.40.13/24,active,AMER-DC-ONPREM-ESX-A03,,vmk2,,AMER ESX-A03 vSAN
10.102.20.14/24,active,AMER-DC-ONPREM-ESX-A04,,vmk0,amer-esx-a04.lab.local,AMER ESX-A04 Management
10.102.30.14/24,active,AMER-DC-ONPREM-ESX-A04,,vmk1,,AMER ESX-A04 vMotion
10.102.40.14/24,active,AMER-DC-ONPREM-ESX-A04,,vmk2,,AMER ESX-A04 vSAN
10.102.20.15/24,active,AMER-DC-ONPREM-ESX-A05,,vmk0,amer-esx-a05.lab.local,AMER ESX-A05 Management
10.102.30.15/24,active,AMER-DC-ONPREM-ESX-A05,,vmk1,,AMER ESX-A05 vMotion
10.102.40.15/24,active,AMER-DC-ONPREM-ESX-A05,,vmk2,,AMER ESX-A05 vSAN
10.102.20.16/24,active,AMER-DC-ONPREM-ESX-A06,,vmk0,amer-esx-a06.lab.local,AMER ESX-A06 Management
10.102.30.16/24,active,AMER-DC-ONPREM-ESX-A06,,vmk1,,AMER ESX-A06 vMotion
10.102.40.16/24,active,AMER-DC-ONPREM-ESX-A06,,vmk2,,AMER ESX-A06 vSAN
10.102.20.17/24,active,AMER-DC-ONPREM-ESX-B01,,vmk0,amer-esx-b01.lab.local,AMER ESX-B01 Management
10.102.30.17/24,active,AMER-DC-ONPREM-ESX-B01,,vmk1,,AMER ESX-B01 vMotion
10.102.40.17/24,active,AMER-DC-ONPREM-ESX-B01,,vmk2,,AMER ESX-B01 vSAN
10.102.20.18/24,active,AMER-DC-ONPREM-ESX-B02,,vmk0,amer-esx-b02.lab.local,AMER ESX-B02 Management
10.102.30.18/24,active,AMER-DC-ONPREM-ESX-B02,,vmk1,,AMER ESX-B02 vMotion
10.102.40.18/24,active,AMER-DC-ONPREM-ESX-B02,,vmk2,,AMER ESX-B02 vSAN
